State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alaska,Kenai Peninsula ,2015,40,40,0,0,0,0,0,17,10,5,0,0,0,40,0
Alaska,Matanuska-Susitna ,2015,365,286,68,10,1,0,0,154,75,29,0,0,190,137,38
Alaska,Yukon-Koyukuk ,2015,83,82,1,0,0,0,0,95,15,4,0,0,0,83,0
Arizona,Apache,2015,361,361,0,0,0,0,0,35,19,11,0,0,0,52,309
Arizona,Cochise,2015,365,282,83,0,0,0,0,90,64,44,0,0,332,10,23
Arizona,Coconino,2015,365,260,101,4,0,0,0,108,71,44,0,0,359,6,0
Arizona,Gila,2015,365,258,102,5,0,0,0,129,74,43,0,0,269,4,92
Arizona,La Paz,2015,360,273,84,3,0,0,0,108,67,42,0,17,292,13,38
Arizona,Maricopa,2015,365,85,244,36,0,0,0,147,100,64,0,25,219,89,32
Arizona,Mohave,2015,364,354,10,0,0,0,0,58,32,17,0,0,0,41,323
Arizona,Navajo,2015,365,317,48,0,0,0,0,100,54,39,0,0,320,9,36
Arizona,Pima,2015,365,247,117,1,0,0,0,101,71,45,0,2,281,16,66
Arizona,Pinal,2015,365,105,214,33,3,0,10,881,108,63,0,0,140,38,187
Arizona,Santa Cruz,2015,365,294,68,3,0,0,0,135,60,30,0,0,0,264,101
Arizona,Yavapai,2015,300,235,65,0,0,0,0,100,64,41,0,0,275,25,0
Arizona,Yuma,2015,365,260,91,13,0,1,0,266,77,43,0,0,212,20,133
Arkansas,Arkansas,2015,116,88,28,0,0,0,0,71,58,34,0,0,0,116,0
Arkansas,Ashley,2015,116,92,24,0,0,0,0,73,56,31,0,0,0,116,0
Arkansas,Clark,2015,320,305,15,0,0,0,0,87,45,33,0,0,320,0,0
Arkansas,Crittenden,2015,365,308,56,1,0,0,0,101,58,36,0,23,291,51,0
Arkansas,Garland,2015,120,97,23,0,0,0,0,72,55,34,0,0,0,120,0
Arkansas,Jackson,2015,119,96,23,0,0,0,0,64,55,31,0,0,0,119,0
Arkansas,Newton,2015,365,341,24,0,0,0,0,90,47,35,0,0,340,25,0
Arkansas,Polk,2015,361,313,47,1,0,0,0,101,53,38,0,0,312,49,0
Arkansas,Pulaski,2015,365,233,132,0,0,0,0,100,66,44,0,6,147,212,0
Arkansas,Union,2015,119,94,25,0,0,0,0,74,55,33,0,0,0,119,0
Arkansas,Washington,2015,365,328,37,0,0,0,0,90,51,37,0,0,325,40,0
California,Alameda,2015,365,214,139,12,0,0,0,147,76,46,0,15,180,170,0
California,Alpine,2015,31,1,14,13,3,0,0,170,149,102,0,0,0,31,0
California,Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0
California,Butte,2015,365,170,182,12,1,0,0,152,84,52,0,0,237,127,1
California,Calaveras,2015,365,245,98,18,2,1,1,320,90,45,0,0,274,91,0
California,Colusa,2015,365,229,130,4,2,0,0,191,70,46,0,0,154,208,3
California,Contra Costa,2015,365,258,99,8,0,0,0,147,67,44,0,7,213,145,0
California,Del Norte,2015,114,106,8,0,0,0,0,69,39,15,0,0,0,114,0
California,El Dorado,2015,365,239,102,22,2,0,0,166,93,44,0,0,350,5,10
California,Fresno,2015,365,60,203,78,23,1,0,205,136,80,0,0,227,133,5
California,Glenn,2015,365,257,108,0,0,0,0,93,67,44,0,0,243,99,23
California,Humboldt,2015,365,310,55,0,0,0,0,90,54,36,0,0,183,176,6
California,Imperial,2015,365,87,236,39,3,0,0,175,105,63,0,5,147,127,86
California,Inyo,2015,365,203,141,12,6,0,3,1383,90,48,0,0,286,29,50
California,Kern,2015,365,44,199,93,28,1,0,201,146,84,0,1,231,129,4
California,Kings,2015,365,90,205,60,10,0,0,174,119,71,0,0,197,131,37
California,Lake,2015,363,351,11,1,0,0,0,148,47,36,0,0,361,2,0
California,Los Angeles,2015,365,26,207,95,36,1,0,203,151,79,0,25,189,149,2
California,Madera,2015,365,109,209,43,4,0,0,154,105,63,0,0,223,127,15
California,Marin,2015,365,285,78,2,0,0,0,103,61,36,1,16,178,169,1
California,Mariposa,2015,365,239,115,6,4,1,0,215,84,46,0,0,327,29,9
California,Mendocino,2015,365,302,59,2,2,0,0,160,55,38,0,0,136,229,0
California,Merced,2015,365,142,178,41,4,0,0,159,105,58,0,0,217,147,1
California,Mono,2015,365,321,25,2,4,1,12,3994,54,14,0,0,0,29,336
California,Monterey,2015,365,331,33,1,0,0,0,120,50,37,0,2,258,80,25
California,Napa,2015,365,237,127,1,0,0,0,108,69,44,1,1,145,216,2
California,Nevada,2015,364,217,116,29,2,0,0,166,93,47,0,0,356,8,0
California,Orange,2015,365,126,218,19,2,0,0,156,87,56,0,36,128,200,1
California,Placer,2015,365,236,120,8,1,0,0,179,75,45,0,9,205,151,0
California,Plumas,2015,132,68,50,10,4,0,0,157,102,50,0,0,0,132,0
California,Riverside,2015,365,43,182,106,32,2,0,238,150,87,0,0,194,107,64
California,Sacramento,2015,365,153,184,25,3,0,0,172,93,54,0,4,193,168,0
California,San Benito,2015,365,313,52,0,0,0,0,93,58,39,0,0,341,23,1
California,San Bernardino,2015,365,35,200,88,37,5,0,223,154,83,0,31,203,124,7
California,San Diego,2015,365,91,233,40,1,0,0,155,102,61,0,8,208,147,2
California,San Francisco,2015,365,300,65,0,0,0,0,100,56,35,0,68,164,133,0
California,San Joaquin,2015,365,138,191,32,4,0,0,164,100,56,0,1,170,188,6
California,San Luis Obispo,2015,365,163,197,5,0,0,0,126,80,53,0,0,191,148,26
California,San Mateo,2015,365,327,37,1,0,0,0,101,51,32,1,40,230,94,0
California,Santa Barbara,2015,365,249,115,1,0,0,0,101,67,45,0,3,251,106,5
California,Santa Clara,2015,365,247,111,7,0,0,0,147,67,43,0,15,187,163,0
California,Santa Cruz,2015,365,320,45,0,0,0,0,94,54,35,0,0,254,111,0
California,Shasta,2015,365,256,96,12,1,0,0,156,84,44,0,0,354,11,0
California,Siskiyou,2015,362,334,24,4,0,0,0,139,48,36,0,0,343,17,2
California,Solano,2015,365,246,115,4,0,0,0,118,74,44,0,6,201,157,1
California,Sonoma,2015,365,321,44,0,0,0,0,88,53,35,0,1,267,94,3
California,Stanislaus,2015,365,127,190,43,5,0,0,187,112,59,0,0,202,154,9
California,Sutter,2015,365,194,163,8,0,0,0,119,84,49,1,2,233,129,0
California,Tehama,2015,365,231,115,18,1,0,0,153,87,45,0,0,311,52,2
California,Trinity,2015,68,68,0,0,0,0,0,49,22,9,0,0,0,68,0
California,Tulare,2015,365,50,217,78,20,0,0,170,143,78,0,0,206,154,5
California,Tuolumne,2015,364,264,89,11,0,0,0,126,77,43,0,0,364,0,0
California,Ventura,2015,365,183,169,13,0,0,0,126,84,50,0,4,226,131,4
California,Yolo,2015,365,236,125,4,0,0,0,103,75,44,0,2,230,133,0
Colorado,Adams,2015,365,271,91,3,0,0,0,115,64,45,1,133,206,6,19
Colorado,Alamosa,2015,364,357,7,0,0,0,0,87,32,17,0,0,0,5,359
Colorado,Arapahoe,2015,361,260,99,2,0,0,0,136,67,45,0,0,348,13,0
Colorado,Archuleta,2015,348,342,6,0,0,0,0,74,30,17,0,0,0,0,348
Colorado,Boulder,2015,365,265,93,7,0,0,0,129,69,44,0,0,335,28,2
Colorado,Chaffee,2015,100,65,34,1,0,0,0,108,64,47,0,0,100,0,0
Colorado,Clear Creek,2015,295,182,107,6,0,0,0,140,74,48,0,0,295,0,0
Colorado,Delta,2015,114,113,1,0,0,0,0,51,27,16,0,0,0,0,114
Colorado,Denver,2015,365,166,190,9,0,0,0,146,77,52,0,141,128,94,2
Colorado,Douglas,2015,362,251,100,9,2,0,0,169,77,44,0,0,351,11,0
Colorado,El Paso,2015,365,284,80,1,0,0,0,105,64,44,2,0,357,6,0
Colorado,Fremont,2015,57,57,0,0,0,0,0,37,22,11,0,0,0,0,57
Colorado,Garfield,2015,365,265,90,10,0,0,0,133,67,45,0,0,363,2,0
Colorado,Grand,2015,64,59,5,0,0,0,0,58,48,38,0,0,64,0,0
Colorado,Gunnison,2015,365,283,79,3,0,0,0,101,61,44,0,0,357,0,8
Colorado,Jackson,2015,363,347,16,0,0,0,0,93,47,38,0,14,342,7,0
Colorado,Jefferson,2015,365,244,104,15,2,0,0,164,84,45,0,0,365,0,0
Colorado,La Plata,2015,365,271,92,2,0,0,0,108,64,43,0,2,363,0,0
Colorado,Larimer,2015,365,198,150,16,1,0,0,161,80,49,0,0,322,43,0
Colorado,Mesa,2015,365,253,109,3,0,0,0,105,67,45,0,0,291,74,0
Colorado,Moffat,2015,141,137,4,0,0,0,0,77,46,36,0,0,141,0,0
Colorado,Montezuma,2015,365,284,81,0,0,0,0,93,61,44,0,0,364,1,0
Colorado,Park,2015,350,266,80,4,0,0,0,112,67,45,0,0,348,2,0
Colorado,Pitkin,2015,124,122,2,0,0,0,0,55,28,11,0,0,0,34,90
Colorado,Prowers,2015,351,339,9,1,0,2,0,299,34,14,0,0,0,0,351
Colorado,Pueblo,2015,129,123,6,0,0,0,0,94,34,19,0,0,0,89,40
Colorado,Rio Blanco,2015,365,302,63,0,0,0,0,100,58,43,0,0,321,44,0
Colorado,Routt,2015,364,357,7,0,0,0,0,58,32,13,0,0,0,0,364
Colorado,San Juan,2015,121,121,0,0,0,0,0,48,15,6,0,0,0,121,0
Colorado,San Miguel,2015,236,188,47,1,0,0,0,105,58,44,0,0,173,0,63
Colorado,Weld,2015,365,232,124,9,0,0,0,133,80,47,0,0,334,28,3
Connecticut,Fairfield,2015,365,214,121,24,6,0,0,177,93,46,2,0,145,218,0
Connecticut,Hartford,2015,365,223,134,8,0,0,0,147,72,45,0,32,136,195,2
Connecticut,Litchfield,2015,365,305,53,7,0,0,0,147,61,39,0,3,292,69,1
Connecticut,Middlesex,2015,183,134,37,12,0,0,0,147,90,43,0,0,183,0,0
Connecticut,New Haven,2015,365,220,129,13,3,0,0,169,74,45,0,12,184,169,0
Connecticut,New London,2015,359,297,50,11,1,0,0,151,59,36,0,0,167,192,0
Connecticut,Tolland,2015,183,154,23,6,0,0,0,129,67,39,0,0,183,0,0
Connecticut,Windham,2015,356,326,27,3,0,0,0,129,48,35,0,0,356,0,0
Country Of Mexico,BAJA CALIFORNIA NORTE,2015,56,8,34,10,4,0,0,174,141,73,0,0,0,0,56
Delaware,Kent,2015,365,284,81,0,0,0,0,100,61,41,0,0,260,105,0
Delaware,New Castle,2015,365,205,150,9,1,0,0,172,84,48,0,8,222,135,0
Delaware,Sussex,2015,365,268,94,3,0,0,0,115,64,42,0,0,283,82,0
District Of Columbia,District of Columbia,2015,365,217,143,5,0,0,0,126,73,47,0,31,159,175,0
Florida,Alachua,2015,365,331,34,0,0,0,0,74,50,34,0,0,209,156,0
Florida,Baker,2015,364,356,8,0,0,0,0,77,44,32,0,0,364,0,0
Florida,Bay,2015,365,319,46,0,0,0,0,84,52,37,0,0,211,154,0
Florida,Brevard,2015,365,333,32,0,0,0,0,90,49,37,0,0,306,58,1
Florida,Broward,2015,365,317,47,1,0,0,0,101,54,34,0,13,227,125,0
Florida,Citrus,2015,135,132,3,0,0,0,0,66,40,24,0,0,0,135,0
Florida,Collier,2015,363,320,43,0,0,0,0,74,54,33,0,0,202,161,0
Florida,Columbia,2015,321,288,33,0,0,0,0,77,51,35,0,0,222,99,0
Florida,Duval,2015,365,310,54,1,0,0,0,104,55,38,0,13,177,172,3
Florida,Escambia,2015,365,292,73,0,0,0,0,100,57,40,0,0,217,148,0
Florida,Flagler,2015,365,360,5,0,0,0,0,74,44,33,0,0,365,0,0
Florida,Hamilton,2015,317,272,45,0,0,0,0,77,55,32,0,0,0,317,0
Florida,Highlands,2015,356,345,11,0,0,0,0,80,44,31,0,0,356,0,0
Florida,Hillsborough,2015,365,245,119,1,0,0,0,119,67,44,0,4,169,192,0
Florida,Holmes,2015,361,327,34,0,0,0,0,77,50,37,0,0,208,153,0
Florida,Indian River,2015,333,320,13,0,0,0,0,84,45,34,0,0,333,0,0
Florida,Lake,2015,364,347,17,0,0,0,0,87,44,34,0,0,364,0,0
Florida,Lee,2015,365,331,34,0,0,0,0,90,50,36,0,0,227,137,1
Florida,Leon,2015,363,273,90,0,0,0,0,97,58,40,0,0,123,240,0
Florida,Liberty,2015,352,345,7,0,0,0,0,61,41,31,0,0,352,0,0
Florida,Manatee,2015,365,336,29,0,0,0,0,97,49,34,0,0,365,0,0
Florida,Marion,2015,365,321,44,0,0,0,0,67,52,35,0,0,240,125,0
Florida,Martin,2015,365,328,37,0,0,0,0,75,51,35,0,0,244,121,0
Florida,Miami-Dade,2015,365,292,73,0,0,0,0,85,58,40,0,3,114,248,0
Florida,Nassau,2015,344,308,36,0,0,0,0,67,51,33,0,0,0,344,0
Florida,Okaloosa,2015,365,354,11,0,0,0,0,74,44,33,0,0,350,0,15
Florida,Orange,2015,365,313,51,1,0,0,0,101,54,38,0,0,218,147,0
Florida,Osceola,2015,357,345,12,0,0,0,0,87,44,32,0,0,357,0,0
Florida,Palm Beach,2015,365,294,71,0,0,0,0,90,56,37,0,0,171,112,82
Florida,Pasco,2015,365,343,22,0,0,0,0,90,47,37,0,0,365,0,0
Florida,Pinellas,2015,365,320,45,0,0,0,0,75,54,38,0,0,233,131,1
Florida,Polk,2015,365,314,50,1,0,0,0,105,53,37,0,0,210,155,0
Florida,Putnam,2015,341,341,0,0,0,0,0,49,20,13,0,0,0,0,341
Florida,Santa Rosa,2015,365,310,55,0,0,0,0,97,53,38,0,0,217,148,0
Florida,Sarasota,2015,365,304,60,1,0,0,0,105,56,40,0,0,221,144,0
Florida,Seminole,2015,361,344,17,0,0,0,0,80,46,34,0,0,335,15,11
Florida,St. Lucie,2015,350,341,9,0,0,0,0,84,44,32,0,0,350,0,0
Florida,Volusia,2015,365,326,39,0,0,0,0,81,51,36,0,0,275,90,0
Florida,Wakulla,2015,357,305,52,0,0,0,0,94,54,36,3,0,184,170,0
Georgia,Bibb,2015,365,269,96,0,0,0,0,87,60,41,0,0,124,241,0
Georgia,Charlton,2015,119,117,2,0,0,0,0,59,39,24,0,0,0,119,0
Georgia,Chatham,2015,365,306,59,0,0,0,0,74,56,36,0,0,120,245,0
Georgia,Chattooga,2015,191,173,18,0,0,0,0,97,49,36,0,0,191,0,0
Georgia,Clarke,2015,358,302,56,0,0,0,0,97,54,38,0,0,148,210,0
Georgia,Clayton,2015,121,86,35,0,0,0,0,93,56,39,0,0,0,121,0
Georgia,Cobb,2015,359,258,100,1,0,0,0,112,61,42,0,0,156,203,0
Georgia,Coffee,2015,60,56,4,0,0,0,0,60,47,28,0,0,0,60,0
Georgia,Columbia,2015,243,227,16,0,0,0,0,84,48,37,0,0,243,0,0
Georgia,Coweta,2015,365,312,51,2,0,0,0,108,54,35,0,0,142,223,0
Georgia,Dawson,2015,227,212,14,1,0,0,0,101,49,38,0,0,227,0,0
Georgia,DeKalb,2015,365,183,178,4,0,0,0,150,69,50,0,35,74,256,0
Georgia,Dougherty,2015,365,230,134,1,0,0,0,115,65,42,0,0,0,365,0
Georgia,Douglas,2015,234,206,27,1,0,0,0,112,54,37,0,0,234,0,0
Georgia,Floyd,2015,338,236,102,0,0,0,0,73,58,40,0,0,0,338,0
Georgia,Fulton,2015,365,191,164,8,2,0,0,172,71,49,1,20,105,239,0
Georgia,Glynn,2015,354,326,28,0,0,0,0,63,47,34,0,0,179,175,0
Georgia,Gwinnett,2015,365,276,85,3,1,0,0,154,61,40,0,0,171,194,0
Georgia,Hall,2015,264,149,115,0,0,0,0,94,65,48,0,0,0,264,0
Georgia,Henry,2015,364,299,62,3,0,0,0,147,57,36,0,0,160,204,0
Georgia,Houston,2015,363,288,75,0,0,0,0,95,55,35,0,0,0,363,0
Georgia,Lowndes,2015,357,276,81,0,0,0,0,87,58,38,0,0,0,357,0
Georgia,Murray,2015,280,256,23,0,0,1,0,233,50,37,0,0,225,55,0
Georgia,Muscogee,2015,349,275,73,1,0,0,0,109,58,38,0,0,122,227,0
Georgia,Paulding,2015,365,252,113,0,0,0,0,90,61,43,0,3,97,265,0
Georgia,Pike,2015,355,319,33,2,1,0,0,161,51,35,0,0,355,0,0
Georgia,Richmond,2015,364,284,80,0,0,0,0,87,57,39,0,0,148,216,0
Georgia,Rockdale,2015,364,319,42,3,0,0,0,136,51,31,0,120,244,0,0
Georgia,Sumter,2015,245,236,8,1,0,0,0,129,48,34,0,0,245,0,0
Georgia,Walker,2015,359,264,95,0,0,0,0,80,57,39,0,0,0,359,0
Georgia,Washington,2015,119,107,12,0,0,0,0,69,51,32,0,0,0,119,0
Georgia,Wilkinson,2015,115,90,25,0,0,0,0,82,55,38,0,0,0,115,0
Hawaii,Hawaii,2015,365,70,295,0,0,0,0,98,71,58,0,0,0,365,0
Hawaii,Honolulu,2015,365,331,34,0,0,0,0,62,49,34,0,2,161,185,17
Hawaii,Kauai,2015,362,361,1,0,0,0,0,53,31,14,0,128,0,234,0
Hawaii,Maui,2015,365,344,21,0,0,0,0,75,43,25,0,0,0,365,0
Idaho,Ada,2015,365,294,62,7,2,0,0,166,64,40,4,51,223,66,21
Idaho,Bannock,2015,365,329,32,3,1,0,0,156,50,27,0,0,0,293,72
Idaho,Benewah,2015,365,201,141,18,5,0,0,180,79,46,0,0,0,365,0
Idaho,Blaine,2015,202,197,3,2,0,0,0,138,25,10,0,0,0,202,0
Idaho,Boise,2015,275,227,43,5,0,0,0,128,58,29,0,0,0,275,0
Idaho,Bonner,2015,365,316,37,9,3,0,0,159,58,21,0,0,0,238,127
Idaho,Bonneville,2015,104,98,6,0,0,0,0,58,38,18,0,0,0,104,0
Idaho,Butte,2015,360,325,34,0,1,0,0,157,50,40,0,0,355,5,0
Idaho,Canyon,2015,364,313,41,8,2,0,0,155,57,27,0,0,0,249,115
Idaho,Custer,2015,117,115,2,0,0,0,0,92,21,6,0,0,0,117,0
Idaho,Franklin,2015,335,296,34,4,1,0,0,165,51,21,0,0,0,335,0
Idaho,Idaho,2015,269,228,33,2,3,3,0,226,59,20,0,0,0,269,0
Idaho,Jerome,2015,22,21,1,0,0,0,0,54,32,12,0,0,0,22,0
Idaho,Kootenai,2015,324,268,50,3,3,0,0,166,66,30,0,0,0,324,0
Idaho,Latah,2015,265,240,17,2,5,1,0,206,48,11,0,0,0,265,0
Idaho,Lemhi,2015,355,224,106,17,7,1,0,243,89,38,0,0,0,355,0
Idaho,Nez Perce,2015,271,239,18,7,5,1,1,302,54,19,0,0,0,271,0
Idaho,Shoshone,2015,363,200,137,20,6,0,0,185,92,43,0,0,0,338,25
Idaho,Twin Falls,2015,275,259,13,3,0,0,0,141,43,24,0,0,0,275,0
Idaho,Valley,2015,247,229,13,2,3,0,0,153,43,13,0,0,0,247,0
Illinois,Adams,2015,214,193,21,0,0,0,0,93,50,40,0,0,214,0,0
Illinois,Champaign,2015,365,278,87,0,0,0,0,90,59,42,0,0,215,150,0
Illinois,Clark,2015,210,182,28,0,0,0,0,87,61,39,0,0,210,0,0
Illinois,Cook,2015,365,156,202,5,2,0,0,183,77,53,0,51,82,208,24
Illinois,DuPage,2015,259,218,40,1,0,0,0,115,59,39,0,0,184,75,0
Illinois,Effingham,2015,203,184,19,0,0,0,0,84,50,40,0,0,203,0,0
Illinois,Hamilton,2015,261,219,41,1,0,0,0,105,57,38,0,0,196,65,0
Illinois,Jersey,2015,240,206,33,1,0,0,0,112,58,40,0,0,169,71,0
Illinois,Jo Daviess,2015,327,309,18,0,0,0,0,90,47,34,0,0,327,0,0
Illinois,Kane,2015,363,314,48,1,0,0,0,124,55,35,0,0,302,61,0
Illinois,Lake,2015,362,332,27,3,0,0,0,122,49,35,0,0,362,0,0
Illinois,Macon,2015,365,274,91,0,0,0,0,100,61,40,0,0,220,145,0
Illinois,Macoupin,2015,213,195,18,0,0,0,0,90,49,38,0,0,213,0,0
Illinois,Madison,2015,365,242,117,6,0,0,0,115,68,44,0,0,221,143,1
Illinois,McHenry,2015,364,253,109,2,0,0,0,103,63,43,0,0,161,203,0
Illinois,McLean,2015,363,324,39,0,0,0,0,90,51,37,0,0,325,38,0
Illinois,Peoria,2015,365,269,96,0,0,0,0,90,62,42,0,0,208,157,0
Illinois,Randolph,2015,257,220,37,0,0,0,0,90,54,39,0,0,192,65,0
Illinois,Rock Island,2015,365,325,39,1,0,0,0,105,51,36,0,0,319,46,0
Illinois,Saint Clair,2015,365,287,76,2,0,0,0,117,59,41,0,21,174,170,0
Illinois,Sangamon,2015,349,312,37,0,0,0,0,85,53,34,0,0,305,44,0
Illinois,Will,2015,364,235,129,0,0,0,0,93,62,45,0,0,147,217,0
Illinois,Winnebago,2015,362,311,50,1,0,0,0,108,54,35,0,0,315,47,0
Indiana,Allen,2015,357,235,120,1,1,0,0,169,65,43,0,0,121,236,0
Indiana,Bartholomew,2015,365,243,120,2,0,0,0,115,65,43,0,4,111,250,0
Indiana,Boone,2015,176,144,32,0,0,0,0,97,61,42,0,0,176,0,0
Indiana,Brown,2015,181,166,14,1,0,0,0,101,49,38,0,0,181,0,0
Indiana,Carroll,2015,183,155,28,0,0,0,0,87,64,43,0,0,183,0,0
Indiana,Clark,2015,364,233,127,3,1,0,0,164,67,44,0,0,126,237,1
Indiana,Delaware,2015,236,203,32,1,0,0,0,105,54,36,0,0,155,81,0
Indiana,Dubois,2015,122,90,32,0,0,0,0,76,59,35,0,0,0,118,4
Indiana,Elkhart,2015,357,239,115,3,0,0,0,124,69,42,0,0,96,261,0
Indiana,Floyd,2015,363,220,141,2,0,0,0,108,66,44,0,0,93,270,0
Indiana,Greene,2015,243,187,54,2,0,0,0,115,64,41,0,0,164,79,0
Indiana,Hamilton,2015,360,273,87,0,0,0,0,93,59,37,0,0,106,254,0
Indiana,Hancock,2015,183,165,18,0,0,0,0,97,50,34,0,0,183,0,0
Indiana,Hendricks,2015,183,179,4,0,0,0,0,61,45,35,0,0,183,0,0
Indiana,Henry,2015,121,98,23,0,0,0,0,72,56,28,0,0,0,121,0
Indiana,Howard,2015,346,160,185,1,0,0,0,101,67,52,0,0,0,346,0
Indiana,Huntington,2015,178,175,3,0,0,0,0,71,40,31,0,0,178,0,0
Indiana,Jackson,2015,167,141,25,1,0,0,0,101,58,41,0,0,167,0,0
Indiana,Johnson,2015,179,158,21,0,0,0,0,90,51,39,0,0,179,0,0
Indiana,Knox,2015,349,314,35,0,0,0,0,93,51,34,0,0,349,0,0
Indiana,LaPorte,2015,243,190,50,3,0,0,0,126,63,40,0,0,163,80,0
Indiana,Lake,2015,365,210,149,5,1,0,0,151,72,47,1,7,119,223,15
Indiana,Madison,2015,363,257,106,0,0,0,0,88,61,38,0,0,86,277,0
Indiana,Marion,2015,365,181,181,2,1,0,0,157,71,51,0,6,128,228,3
Indiana,Monroe,2015,342,289,53,0,0,0,0,80,53,30,0,0,0,342,0
Indiana,Montgomery,2015,118,62,56,0,0,0,0,81,64,47,0,0,0,118,0
Indiana,Morgan,2015,181,161,20,0,0,0,0,80,54,39,0,0,181,0,0
Indiana,Perry,2015,183,147,34,2,0,0,0,112,67,43,0,0,183,0,0
Indiana,Porter,2015,365,265,96,3,1,0,0,164,65,41,0,0,121,216,28
Indiana,Posey,2015,183,156,25,2,0,0,0,115,54,40,0,0,183,0,0
Indiana,Shelby,2015,183,166,17,0,0,0,0,77,49,39,0,0,183,0,0
Indiana,Spencer,2015,115,83,32,0,0,0,0,75,59,34,0,0,0,115,0
Indiana,St. Joseph,2015,362,227,133,2,0,0,0,134,68,45,0,32,111,219,0
Indiana,Tippecanoe,2015,328,234,94,0,0,0,0,99,59,38,0,0,0,328,0
Indiana,Vanderburgh,2015,365,214,145,6,0,0,0,133,67,46,2,7,131,225,0
Indiana,Vigo,2015,362,228,133,0,1,0,0,151,64,44,0,0,107,255,0
Indiana,Wabash,2015,358,330,26,2,0,0,0,126,49,35,0,0,358,0,0
Indiana,Warrick,2015,183,143,38,2,0,0,0,115,64,42,0,0,183,0,0
Indiana,Whitley,2015,359,256,103,0,0,0,0,87,62,39,0,23,0,336,0
Iowa,Black Hawk,2015,362,187,173,2,0,0,0,111,67,49,0,0,0,361,1
Iowa,Bremer,2015,214,200,14,0,0,0,0,80,48,36,0,0,214,0,0
Iowa,Cerro Gordo,2015,357,352,5,0,0,0,0,58,33,16,0,0,0,0,357
Iowa,Clinton,2015,365,188,176,1,0,0,0,146,70,49,0,0,75,290,0
Iowa,Delaware,2015,118,103,15,0,0,0,0,73,53,30,0,0,0,110,8
Iowa,Harrison,2015,214,191,22,1,0,0,0,108,51,40,0,0,214,0,0
Iowa,Johnson,2015,365,280,84,1,0,0,0,139,59,36,0,0,0,361,4
Iowa,Lee,2015,118,98,20,0,0,0,0,82,53,33,0,0,0,118,0
Iowa,Linn,2015,365,273,91,1,0,0,0,112,64,41,0,0,127,235,3
Iowa,Montgomery,2015,365,300,65,0,0,0,0,97,56,38,0,0,149,216,0
Iowa,Muscatine,2015,365,264,100,1,0,0,0,142,61,38,0,0,0,360,5
Iowa,Palo Alto,2015,365,289,75,1,0,0,0,102,58,40,0,0,120,243,2
Iowa,Polk,2015,365,298,67,0,0,0,0,98,56,36,0,17,136,208,4
Iowa,Pottawattamie,2015,122,105,17,0,0,0,0,82,53,32,0,0,0,118,4
Iowa,Scott,2015,365,112,251,1,1,0,0,152,77,56,0,0,50,216,99
Iowa,Story,2015,213,202,11,0,0,0,0,77,48,36,0,0,213,0,0
